"age","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
0,22.4053002930352,28.4889995389695,9.97315892875763,11.0895034786464,2.53971580643082,0.950834397560734,0.413983722915355,1.71666074140119,4.55526858526927,23.5038782320292,89.8307160958676,351.203998538284
1,176.580495959498,66.2536032760908,10.1264643046385,9.16292744424224,5.18694104836269,1.47859903200578,0.875096847247049,1.23503133900216,6.84942875456376,86.23465591751,236.449559837576,629.734338908676
2,89.0528570628805,61.1567606130038,17.3126303204077,5.71805398402474,4.06899233488288,3.41709798306272,1.81234432328745,1.6155907363184,20.4091754440589,49.554159663494,590.651595191754,448.325405541596
3,44.2996333805894,13.4796063578866,14.8701474454196,4.29886304896424,2.1718900655106,1.29360888189473,0.350556505072218,0.969736378115674,11.0698211299172,27.6400953173374,172.438610335562,496.093654368613
4,42.4192203095088,18.482852899581,6.77785130385051,3.69116503166674,1.40212521460458,1.20748443961414,0.299592055843773,0.839180971348351,7.46571284363545,45.0595423540449,122.646939482837,216.486529538
5,31.9356950033131,13.5674121252921,4.06985557894264,4.69496709579414,1.23938096079642,0.681163349101519,0.533951458555525,0.861314002101323,3.31927432059133,31.6929593408327,16.9854711926722,233.62967815266
6,56.2043407403387,12.4681299077978,2.6367976055658,3.26143895441683,1.75716348280799,0.842632009162083,0.381803363937307,0.481107862625522,3.19654877999835,20.4624739346279,99.9318694877225,149.233405930242
7,53.4773433190919,18.7587426729188,1.02067746122981,3.66537085071186,0.360020963847748,0.454070729311912,0.221405581181774,0.936725380597876,5.3922487018935,31.9471661446542,58.4849642032702,104.840443857478
8,15.5539528442112,11.7090394770686,3.43236558590166,1.53490850370359,0.686672966479812,0.513731124201319,0.186654250333141,0.300892560042111,0.543493083166274,20.7694196779657,70.846641690371,47.2164690363007
9,43.7675127167339,3.63070764277555,5.63412177614625,1.86041562341628,0.534348135381582,0.724795781269216,0.200093607527912,0.599338343161025,1.05836265942124,20.4396308348608,9.19100896797879,85.75519662754
10,12.080495641098,4.94327103083125,3.52359232246609,1.24278948131177,0.387128770555154,0.328699897217283,0.249761074432466,0.315602351539368,1.2891143202513,2.19258049404622,45.2680993206811,81.2506389477208
11,32.3916128792926,7.941675126896,2.18625600033804,0.68264885009364,0.118427596045971,0.312751401256235,0.270732917024807,0.282757290370509,0.950648114570323,10.7320328853194,18.5539918673239,124.87935622201
12,0.386660436176063,0.745182341476261,0.957241387165696,0.352913150069263,0.12286038342063,0.186709121403349,0.136600519687083,0.199902026338124,0.887171109862594,13.7066082999294,49.9188942092913,49.057595616554
13,0.368503866720337,0.371333555256996,0.734371171562407,0.490143647759883,0.167809418627262,0.146135398410357,0.0322901232117115,0.496596572393865,0.830833611459533,7.88322777575652,34.50427200733,69.4270055439582
14,0.563465948662483,0.917790924979236,0.630696937617094,0.325800719476774,0.185253457299732,0.142092820044761,0.111094989431595,0.365411106866269,0.597297474036369,3.68183586876131,46.1278800906161,26.0627991321625
15,0.572293491419643,0.368877736980714,0.766396598506285,0.30679425289539,0.0746748630811544,0.173612192397136,0.125356139886,0.194406798799471,0.400231191382595,6.61075682982899,43.679133390669,37.2949676259417
16,0.236383604605021,0.635794418010423,0.461386142576031,0.52634037872477,0.212616600914485,0.295551373516425,0.155180465209352,0.159216146034722,0.436833649183975,7.43970903598608,55.1794935500344,20.2496277762923
17,0.675000629117855,0.865055689760658,0.599872459545102,0.35885974811654,0.303292182297085,0.206676752327039,0.100729258416317,0.127373468471428,0.395714244213687,9.59739130553954,44.8687497824305,76.6620672702323
18,0.37072351933173,0.815924053156768,0.380518058563321,0.252022508540566,0.328198422159874,0.196303750933617,0.178029985171213,0.188955396549874,0.653936988837426,12.917534159818,80.0107796471011,61.5029313585136
19,0.503604624165783,0.733514183818462,0.867558603876526,0.221638976189556,0.217387976204788,0.139787995349798,0.172525205723093,0.0863458075844314,0.772942006590289,7.51521020314035,22.2978117607099,26.5594116398029
20,0.191266917926184,0.455225394469106,0.601426838513785,0.357891323160724,0.134156678332529,0.105400105279548,0.121629967072426,0.189233503764413,0.361742026753683,11.2745116205133,13.8123621166469,51.5421371088242
21,0.51217706797639,0.38492424648659,0.234722372909342,0.315282053787762,0.338010291582355,0.12097629972512,0.151627056636522,0.354621918625621,0.773167237811556,1.65431872199613,51.5607111158976,49.5076150116844
22,0.283287227817313,0.586072750536954,0.415607809335532,0.32352216122884,0.250923315354304,0.141358010384231,0.00920917793800441,0.230548038740724,0.715311308108584,5.91637065664919,41.5606319653026,48.604521229081
23,0.624991225340881,0.975225179177038,0.82108543331362,0.619611940566163,0.16827740068274,0.138805547943683,0.139888799170283,0.267682384210743,0.352373268445129,11.3622490099779,53.3055362885501,49.0191873970371
24,3.73442024352142,3.44847142524158,2.18480921425664,0.85438138455409,0.260733769528418,0.168890156414201,0.0417461637818371,0.0564758083670936,0.19163509773752,1.31766664848402,9.17538946994645,20.2304555040277
25,11.2373476098257,2.46299085669768,1.17054507326059,0.49252314889546,0.30284279211145,0.103407909582157,0.0436776365181654,0.030407312567224,0.563989282186691,2.62167647401557,11.8103396782059,13.7789513813304
26,0.477117107389616,3.61461156378619,2.03983682933094,0.604401715574453,0.29020976725154,0.270267551514426,0.052043165978945,0.0414559600239238,0.295389396590938,2.28880121131418,19.4461456487694,27.8554049450606
27,13.6941810991217,4.08431513031686,1.82219614722671,0.323717440457034,0.231014324213905,0.127919522399988,0.0499133987506854,0.0548394348994537,0.999429714977962,2.50437864904859,14.5738905034454,4.161319922323
