"age","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
0,11.1455120361352,6.42653333946189,3.61902563207277,1.13509722175866,0.432528223902189,0.190244065683671,0.309948333648894,0.687288913510022,3.79509512548456,7.60621603311766,47.2616246870186,85.6785811875673
1,5.76826064204744,2.36534581972448,0.14089643314167,0.290429456654659,0.197322409023918,0.111896768541208,0.0467358614532842,0.0864836365983148,0.227302767425695,7.05851020397968,29.2416591180731,23.3781504890388
2,3.93907688606665,1.61805810321068,1.06972459854754,0.542639552749974,0.209730556438181,0.17378057968608,0.0333675117527395,0.180992915399404,0.246837138194256,4.63796233016803,11.6196500291183,18.0282551431961
3,3.10616608839234,1.42402605077539,0.258792306941502,0.218133451799956,0.0101105059015916,0.060764695586479,0.0340473010113555,0.0799967949254256,0.119831316496497,3.15731843441543,11.5916500174542,22.5388353387792
4,2.48417129810903,0.412115753849381,0.413812037778524,0.348742924263118,0.0843361307107853,0.0992536234363113,0.01928438950731,0.0554301469309481,0.157495848309829,1.82456205949366,8.51360612204042,6.30122754760305
5,3.01112160735528,0.559396275388119,0.339114364761988,0.219937010480251,0.0671140483044089,0.0392332859769826,0.00798196738710743,0.0581374788837176,0.0827751723321943,0.529123970033253,6.41154634487555,7.07932953946213
6,2.35947375297169,0.828270556162065,0.257449665926309,0.147012378874683,0.0587815447952937,0.0180776458709362,0.0161694484415091,0.0118629526390437,0.101990933475557,1.68406082413155,4.77886757332554,8.77506754163928
7,1.6598421491111,0.315395023309518,0.226660094809482,0.162068055005945,0.0260613071245496,0.0200836748367206,0.0183254109077798,0.056520186224103,0.027308590193688,0.375702746610199,2.96451245819438,6.05188700718191
8,0.806494687299884,0.225937541011421,0.0680690989988624,0.0862104006156788,0.0235940416160873,0.027938273244285,0.0097596516090741,0.0453809539609179,0.0286806330974983,0.339433678797219,2.22961678486741,3.9651708561425
9,2.45518419226363,0.163196164061634,0.160427685870072,0.164026773766682,0.0253392937785111,0.0201716476468453,0.0154949746037794,0.0273230505469613,0.0401495425974627,1.09367492005648,2.08548613937065,6.87100984528801
10,1.48238238692965,0.288114923706041,0.0737926909478909,0.0882653140245143,0.0286281430523927,0.0282645062532628,0.00571183301486578,0.0276690522196711,0.048838366548899,0.377554824294625,2.32424340074742,3.56901256021011
11,0.688375851078354,0.256627149845307,0.0940603050767868,0.0424276017779763,0.021995887963548,0.0110525017524235,0.0112111957945454,0.0129664420839681,0.0466724133164864,0.244912823252224,2.70036532778019,4.03074610693784
12,0.0522130956854671,0,0,0,0,0,0,0.0234007821592223,0.0128116815944115,0.0489218406476485,0.918940746893666,0.602940416972901
13,0.0521879131735649,0,0,0,0,0,0,0.0888666831577804,0.0146232003007267,0.0658874008244199,0.376242175363378,0.676557518766546
14,0.0570051731069877,0,0,0,0,0,0,0.00754503390994927,0.0236133263286193,0.130790745070006,0.547872381177598,0.470161427895799
15,0.0186351053217172,0,0,0,0,0,0,0.0238206632827013,0.0136612392479606,0.0731060495671055,0.618483864126702,0.33535827887198
16,0.032634472406542,0,0,0,0,0,0,0.0292769522936109,0.0204797167654265,0.0787245234228973,0.8998378681291,0.402309874925638
17,0.0485231036471595,0,0,0,0,0,0,0.0330552577668694,0.026410442207663,0.0820269099216011,0.580025787707257,0.897275816277496
18,0.0707549937366138,0,0,0,0,0,0,0.0377418075745482,0.0197301660606422,0.116605529041265,0.695481201265335,0.932525565195887
19,0.0136144165309186,0,0,0,0,0,0,0.0448834823329391,0.0200899717312651,0.0783852786977028,0.873906168585676,1.58083298838111
20,0.0312428823890892,0,0,0,0,0,0,0.0370949021323092,0.0244161043525762,0.101003859552899,1.07966200982078,1.44006314466993
21,0.0251746915643905,0,0,0,0,0,0,0.0416526581496848,0.0184724315398046,0.090173103788699,0.0483585844277946,0.294160299010841
22,0.0487255401501179,0,0,0,0,0,0,0.0185444814929248,0.0280909723956564,0.0284647196380568,1.03736223970854,0.61604627575579
23,0.0461178537666512,0,0,0,0,0,0,0.0331937470461005,0.0307529769909143,0.0636585631980811,0.818957579471604,0.698996409775184
24,0.279608357022185,0.130132364187408,0.0272341630581657,0,0.0402742590656484,0.0167449847588528,0,0,0,0.0609822347596894,0.259338831143745,0.172903189057746
25,0.336089644865544,0.0864013152173874,0.0527001499844941,0,0.0206375318299527,0.0271383214766819,0,0,0,0.0456857363981512,0.285142148418985,0.231919986614102
26,0.292462474178253,0.135086933151042,0.089535052145167,0,0.0483082639407637,0.0186569093757314,0,0,0,0.0457065935912545,0.365991785701127,0.228634304997235
27,0.228431554173155,0.0725520225369579,0.0681711145979712,0,0.0589462622189569,0.0240857247303532,0,0,0,0.0612594767790207,0.424079231478698,0.238509321583969
28,0.331556799023548,0.0311097428067872,0.0423723556535371,0,0.0563033425822358,0.0207623860488868,0,0,0,0.040432136622655,0.274646884875595,0.216026128883065
